Date,Country/Region,Confirmed,Deaths,Recovered,Active,No_Of_New_Cases,No_Of_New_Deaths,No_Of_New_Recovered,Latitude,Longtitude
2020-10-03,Afghanistan,39297,1462,32842,4993,7,4,0,33.93911,67.709953
2020-10-03,Albania,14117,392,8536,5189,152,3,194,41.153332,20.168331
2020-10-03,Algeria,51995,1756,36482,13757,148,7,97,28.033886,1.6596259999999998
2020-10-03,Andorra,2110,53,1540,517,0,0,0,42.546245,1.6015540000000001
2020-10-03,Angola,5370,193,2436,2741,159,4,221,-11.202691999999999,17.873887
2020-10-03,Antigua and Barbuda,107,3,96,8,1,0,2,17.060816,-61.79642800000001
2020-10-03,Argentina,790818,20795,626114,143909,11129,196,11599,-38.416097,-63.616671999999994
2020-10-03,Armenia,51925,972,44583,6370,543,6,177,40.069099,45.038189
2020-10-03,Australia,27135,894,24864,1377,14,1,16,-25.274398,133.775136
2020-10-03,Austria,47432,809,38045,8578,1058,6,859,47.516231,14.550072
2020-10-03,Azerbaijan,40561,595,38354,1612,108,1,137,40.143105,47.57692700000001
2020-10-03,Bahamas,4332,96,2375,1861,112,0,85,25.03428,-77.39628
2020-10-03,Bahrain,72310,258,66813,5239,507,3,629,25.93041400000001,50.637772
2020-10-03,Bangladesh,367565,5325,280069,82171,1182,20,1442,23.684994,90.35633100000001
2020-10-03,Barbados,196,7,182,7,3,0,3,13.193887,-59.543198
2020-10-03,Belarus,79852,851,75148,3853,431,7,166,53.709807,27.953389
2020-10-03,Belgium,127623,10044,19645,97934,3389,7,124,50.503887,4.469936
2020-10-03,Belize,2080,28,1290,762,0,0,0,17.189877,-88.49765
2020-10-03,Benin,2357,41,1973,343,0,0,0,9.30769,2.315834
2020-10-03,Bhutan,283,0,230,53,0,0,1,27.514162,90.433601
2020-10-03,Bolivia,136569,8073,97105,31391,350,28,451,-16.290154,-63.588653
2020-10-03,Bosnia and Herzegovina,27975,871,21108,5996,0,0,0,43.915886,17.679076000000006
2020-10-03,Botswana,3172,16,710,2446,0,0,0,-22.328474,24.684866
2020-10-03,Brazil,4906833,145987,4361108,399738,59741,1307,61449,-14.235004,-51.92528
2020-10-03,Brunei,146,3,142,1,0,0,0,4.535277,114.72766899999999
2020-10-03,Bulgaria,21518,841,14984,5693,182,3,45,42.733883,25.48583
2020-10-03,Burkina Faso,2154,59,1397,698,31,0,12,12.238333,-1.561593
2020-10-03,Burma,16503,371,4795,11337,978,18,417,21.9162,95.956
2020-10-03,Burundi,513,1,472,40,0,0,0,-3.3730559999999996,29.918885999999997
2020-10-03,Cabo Verde,6296,62,5409,825,91,0,10,16.5388,-23.0418
2020-10-03,Cambodia,278,0,275,3,0,0,0,12.565679,104.990963
2020-10-03,Cameroon,20924,0,19764,1160,0,0,0,7.369722,12.354722
2020-10-03,Canada,166347,9422,140711,16214,1306,22,894,56.130366,-106.34677099999999
2020-10-03,Central African Republic,4845,62,1914,2869,16,0,0,6.611111,20.939444
2020-10-03,Chad,1214,85,1075,54,3,0,5,15.454166,18.732207
2020-10-03,Chile,468471,12919,440881,14671,1881,52,1274,-35.675146999999996,-71.542969
2020-10-03,China,90604,4717,85511,376,20,0,17,35.86166,104.195397
2020-10-03,Colombia,848147,26556,757801,63790,6615,159,3848,4.570868,-74.297333
2020-10-03,Congo (Brazzaville),5089,89,3887,1113,0,0,0,-4.5216660000000015,21.964255
2020-10-03,Congo (Kinshasa),10752,274,10212,266,23,2,29,-1.142502,15.852951
2020-10-03,Costa Rica,79182,950,45007,33225,1353,20,2386,9.748917,-83.753428
2020-10-03,Cote d'Ivoire,19849,120,19421,308,56,0,64,7.54,-5.3053230000000005
2020-10-03,Croatia,17401,293,15661,1447,241,2,238,45.1,15.2
2020-10-03,Cuba,5780,122,5118,540,62,0,196,21.521757,-77.78116700000002
2020-10-03,Cyprus,1811,22,1369,420,22,0,0,35.126413,33.429859
